keys,en,zh,cmn,,
LEVELS,Levels,關卡,,,
BACK,Back,返回,,,
HOME,Back To Home Screen,返回主頁,,,
SETTINGS,Settings,設定,,,
PLAY_AGAIN,Play Again,再玩一遍,,,
START,Start,開始,,,
BREAK_RECORD,Record Broken!,破紀錄啦！,,,
HIGHEST_SCORE,Highest Score: %d,最高分：%d,,,
STORY,,故事模式,,,
ENDLESS,,無盡模式,,,
,,,,,
,,,,,
,,,,,
,,,,,
TITLE_0,,醒來,,,
LEVEL0_0,,振作起來，勇者少爺。您父親臨行前曾說過，若有不測，希望您能守護這片土地。,,,
LEVEL0_1,,我知道的。父親用生命守護的和平，我決不能讓它毀於一旦。我一定會繼承父親的意志，守護這個王國的。,,,
LEVEL0_2,,欸？這裏是？,,,
LEVEL0_3,,我是誰？,,,
LEVEL0_4,,我爲什麽會在這？,,,
LEVEL0_5,,剛才的是哪裏傳來的聲音？,,,
LEVEL0_6,,我是失憶了嗎？,,,
LEVEL0_7,,手環上的是？,,,
LEVEL0_8,,我的名字？,,,
LEVEL0_9,,頭好痛...完全想不起來。,,,
LEVEL0_10,,欸！不管了！,,,
LEVEL0_11,,肚子好餓啊得先找點吃的才行！,,,
TITLE_1,,勇者少爺的妹妹,,,
LEVEL1_0,,哈！吃飽了！,,,
LEVEL1_1,,不過，現在該去哪裏呢？,,,
LEVEL1_2,,我是這個城堡裏的人嗎？,,,
LEVEL1_3,,完全不知道啊！,,,# 腳步聲
LEVEL1_4,,有人要來了。得快點跑才行！,,,
LEVEL1_5,,這裏是？,,,
LEVEL1_6,,腳怎麽會不由自主地來到這裏？,,,
LEVEL1_7,,這是我的房間嗎？,,,
LEVEL1_8,,房間還挺漂亮，難道我是什麽有地位的人物？,,,# 門開了，勇者少爺急匆匆地走進來，我們對視了幾秒
LEVEL1_9,,怎麽了？呃，妹妹,,,
LEVEL1_10,,（欸，我是他妹妹嗎？）,,,
LEVEL1_11,,哦，沒事啊？怎麽了嗎？,,,
LEVEL1_12,,呃，沒事。,,,
LEVEL1_13,,最近有惡魔來襲，剛剛又發現厨房的烤肉不見了。,,,
LEVEL1_14,,所以過來看看你。你，沒事就好。,,,
LEVEL1_15,,呃。哦，謝謝你的關心，我沒事。,,,
LEVEL1_16,,要吃飯了，你一起嗎？,,,
LEVEL1_17,,呃，我不餓，我想先休息一下。,,,
LEVEL1_18,,嗯，那你先休息吧。,,,# 勇者少爺離開了
LEVEL1_19,,呼！嚇死我了！,,,
LEVEL1_20,,原來我是勇者少爺的妹妹啊。,,,
LEVEL1_21,,看來之後不用偷偷摸摸的了。,,,
LEVEL1_22,,希望他會忘了烤肉的事情吧。,,,
LEVEL1_23,,話説他語氣好像有點奇怪，,,,
LEVEL1_24,,也許是父親死去，他很傷心吧。,,,
TITLE_2,,惡魔的神話,,,# 晚上，主角在床上
LEVEL2_0,,發生了這麽多事，睡不着啊。,,,
LEVEL2_1,,我對哥哥完全沒有印象，之後該怎麽相處呢？,,,
LEVEL2_2,,我該跟他們說我失憶了嗎？,,,
LEVEL2_3,,還是等父親的事情過去才説呢？,,,# 門小聲地開
LEVEL2_4,,欸，怎麽會有人來,,,# 我馬上躲進被窩裏；勇者小聲走過來床邊；勇者一劍砍下來，我把腿縮起來躲過一劍，床被砍斷一半
LEVEL2_5,,哇！怎麽了？,,,
LEVEL2_6,,別裝傻了，你們這些伎倆我早就識破了！,,,
LEVEL2_7,,欸？我怎麽會跳得這麽高,,,
LEVEL2_8,,竟敢假裝我的妹妹，我的妹妹已經不在了！,,,
LEVEL2_9,,甚麽啊！我不懂你在說什麽！,,,
LEVEL2_10,,傳説已經説得很清楚了！,,,
LEVEL2_11,,惡魔吃掉女生後，會假裝那個女生，博取家人的信任，然後再把他們吃掉！,,,
LEVEL2_12,,我是不會中你們的計的！,,,
LEVEL2_13,,我不知道你在說什麽！我失憶了！,,,
LEVEL2_14,,你看你翅膀都露出來了，還想裝什麽啊,,,# 主角發現自己身上長出角和翅膀
LEVEL2_15,,欸！我不知道這是什麽回事啊！,,,
LEVEL2_16,,你先把劍放下，有事好好說！,,,
LEVEL2_17,,我沒事要跟你說！我已經給附近的鳥喂了瀉藥了！我看你還怎麽逃！,,,
LEVEL2_18,,不要啊！,,,
LEVEL2_19,,這裏，應該追不上來了吧。,,,
LEVEL2_20,,。。。。。。,,,
LEVEL2_21,,這，應該，不是夢吧。,,,
LEVEL2_22,,欸！,,,
TITLE_3,,,,,
LEVEL3_0,,從我逃出城堡開始已經十八年了。,,,
LEVEL3_1,,這十八年裏，我一直在荒野裏生活著。,,,
LEVEL3_2,,一個人都沒有的生活極度孤單，,,,
LEVEL3_3,,感覺我是否存在於世上已經沒有區別了。,,,
LEVEL3_4,,我不想這樣下去，,,,
LEVEL3_5,,可是，別人只會把我當作惡魔吧。,,,
LEVEL3_6,,我也不知道身上的翅膀是怎麽回事啊！,,,
LEVEL3_7,,不過這十八年裏,,,
LEVEL3_8,,我飛行技術也有所提升，一般攻擊應該能躲過的吧。,,,
LEVEL3_9,,都十八年了，,,,
LEVEL3_10,,我覺得，大概是時候往前走走了吧。,,,# 往前走的時候，突然有個男人從後面撲向自己，我躲過了
LEVEL3_11,,終於等到你了！,,,
LEVEL3_12,,哎呀！別跑啊！,,,
LEVEL3_13,,啊！,,,
